2022-07-15 22:31:04,310 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:04,373 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:05,432 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:05,493 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:06,552 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:06,615 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:07,673 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:07,735 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:08,799 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:08,861 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:09,932 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:09,980 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:11,055 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:11,103 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:12,176 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:12,222 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:13,296 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:13,343 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:14,416 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:14,464 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:15,537 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:15,585 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:16,660 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:16,708 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:17,778 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:31:17,826 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
